model_short,condition,prompt_id,byte_equal,baseline_sha256,mtp_sha256
12b,n4,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,69047099891dca999f9ff1d2e1f5477f83a5ca9441320e540fb2eb15bef0325a
12b,n4,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,911742caeb143b5ac39787e81a93b0cd5b4a4a528bec1bd4ebe19c5ba5d19850
12b,n4,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,eca108250569079ee9a5c820fabd6fad8e1dd3d0a70ecca921eb4ba8ac96fb1f
12b,n4,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,2bd29807bf1edb273375d780af6e9e1090e5076ea19a973151acee5cad3386df
12b,n4,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,ed16b05382943555a85d8f692db37dcbb83a4acb2390d0904c65c0dfecd99e14
12b,n4,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,ac1805da7e56cb998553175234328e8be02f2d826b777904a6a6de0acde9d806
12b,n4,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,d851bdba185057117807cad1ecff75380121c5865307d8c373c2d4ae409d7f84
12b,n4,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,905afeb1c10bbc3be9eb96031cf329648603c71692fd85803a3a8f8da8139a06
12b,n4,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,70c6956adacd7e174110b84ae8dd525344e440e27f5aa3fc870ae239f3ba3cef
12b,n6,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,70c6956adacd7e174110b84ae8dd525344e440e27f5aa3fc870ae239f3ba3cef
12b,n6,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,d851bdba185057117807cad1ecff75380121c5865307d8c373c2d4ae409d7f84
12b,n6,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,911742caeb143b5ac39787e81a93b0cd5b4a4a528bec1bd4ebe19c5ba5d19850
12b,n6,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,6a4e82eceb20a0d80f3d50cb3fc766cb916df56d5f754a721b5afac004a4a3c5
12b,n6,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,7ba7ff7323748c2bb559367e394201c6ddd8293c6e0c59d65f0bb2d69f99f794
12b,n6,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,ac1805da7e56cb998553175234328e8be02f2d826b777904a6a6de0acde9d806
12b,n6,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,c05d01cc4ac87623323de04cc184ae2ea88e3b43b837dc1418d3999d57097442
12b,n6,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,2bd29807bf1edb273375d780af6e9e1090e5076ea19a973151acee5cad3386df
12b,n6,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,69047099891dca999f9ff1d2e1f5477f83a5ca9441320e540fb2eb15bef0325a
12b,n8,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,a2f4f2df4e411df25e08ce833dd7706b30cac0d7b7a9fcc7ff47ddcd2e7d560b
12b,n8,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,6bb0a1738881e861f99218c9d13ff4f822f38b37b782168e4e00c1d2db0061d8
12b,n8,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,e8d3104d2792673674e92505469f8acf78d73e738b0cea7c5efffc498863b8e1
12b,n8,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,cbe757f2a1a2ef0144f89491182b6ac81a4e09abc8c53c735efb75a963f6fe3c
12b,n8,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,0879da9159d57055f7f513b1c66d3b33a19cc84ffbbd67596f263303b113134f
12b,n8,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,b4afbc1ae9aad62cc3b11cb034309ff3d147618bac3121da3f996b82672eda61
12b,n8,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,1142ccdce98ac64a7c7dc2a0cc540ac49f5ebfac5bfb557f0725fda1ce5af21c
12b,n8,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,d8e866da4cd883a1fd00f891d62d7f294bde6bb17c5b3eee8bdd57f4bd9df364
12b,n8,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,a83baa4893a1597567922c7f1a3c4be22d4671b1c2d13b251c4fa881374a9950
12b,n12,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,d8e866da4cd883a1fd00f891d62d7f294bde6bb17c5b3eee8bdd57f4bd9df364
12b,n12,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,a83baa4893a1597567922c7f1a3c4be22d4671b1c2d13b251c4fa881374a9950
12b,n12,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,ea81476dfd4c9acfe363dfa92ecf23a979d6ad920841b9bb6c98c6267a395db0
12b,n12,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,a26aa14727d5612ef481f37f2ffda93b02afdae64138b3ff0b2148d10395c15f
12b,n12,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,021aa9633c93656dae178df0fa4fd4749b5f7746f3114e96ab7043a3e03b9eda
12b,n12,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,a2f4f2df4e411df25e08ce833dd7706b30cac0d7b7a9fcc7ff47ddcd2e7d560b
12b,n12,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,e8d3104d2792673674e92505469f8acf78d73e738b0cea7c5efffc498863b8e1
12b,n12,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,c0d350aee352ecdc8d6fb01fb1b64e49db8fbac92a88bc5f8b581b3314d46dc6
12b,n12,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,cbe757f2a1a2ef0144f89491182b6ac81a4e09abc8c53c735efb75a963f6fe3c
12b,n16,12b-4000-0,False,32fab7eda7dd18e5df8119a38deb628d8c90f5a5dc8e9411490b73e3465341d4,f4183ece7fa810d91e51053a29b7cbfce5a154bc1596ddc9c4c02bd9de6d4af8
12b,n16,12b-4000-1,False,aa5f82b6899620da5305e5c8c57eb0645693efa2df78060b72ddc0af1068199d,4946fbfef28981a27131234cdf8733a7b4ad62acb757f298d4677ce2c112db2b
12b,n16,12b-256-0,False,51e75d39de1709917699a5d5d9b85aac4723cd634db1a470f14a416611548ae5,b279be6fb582d83a46616a7f7ebd2c83ed7a189731f837bbe7df4c8b1d5d280a
12b,n16,12b-1024-0,False,8c797ed20fae719d04802123ccc3cd6c58f79b0801d4d599334e4d511713a42c,348a32f381bee249fc64e59daed2112f462c3d8a6a57fbaa44c865eeb5cb9e73
12b,n16,12b-256-2,False,556f3c69a3b8e48e8c8bd3f3db4d96f0001cd92f5ebc6f1f42eb66c90c850dc4,a189acc74fd6ff51f43e3e0a30ac600e5de3a4905cd7fcacc0d70830a24d127e
12b,n16,12b-4000-2,False,d673286f214cc4ddc4c53cfd2ed83d0b082e4f34b590dab260f0741db99556de,9008226657c2da6eb4750e0b9aade85c82d92a15a80a52b2a384ec4972b8b40e
12b,n16,12b-1024-2,False,b4347cb2ef54bbd449d193ac982563acb2d2cf5765c926d5b34cbadeb9898db4,558cf2c4c72e9dafb3f5d8c6d7a796813214a13cf32d6cdb428e6a5c8857f2a9
12b,n16,12b-1024-1,False,5800d7cb66d56849dc1661c20b0f6c2c49c569c30cb352074b71c66195ce0172,ac3a39d1f4b1bd38d483a5d92f272b08a72b1318e9af86b5a62b6b5c65ef5e0e
12b,n16,12b-256-1,False,e422bc7ff3e007b154382e3940082101207631ea0483c7238491999a003f8f31,e9bb5c44183037ad3f355a122422f562648361177423e5aae604fe0307d3eb87
26b,n1,26b-1024-1,False,c01d15bb05609f292827428e8c5b0b1996b24b18a9909d0583ac6f1fe6a2744a,644512864cc35b7b5936ff98438b65a4a6120aa1bc9dcbbb4880a2ef5b260286
26b,n1,26b-256-1,False,75afe836f84af28a35deaf752b1e716da4effb51bbca6ce901e01e49b623edd6,720e6d90a6ce0ec4a2e7bacc4d8029649c7e33906e27dd56dc62f1488e50714e
26b,n1,26b-4000-0,False,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,bf2eaeb33edb0f18940073b5fc3ca7b49c32cb27e6df73d51de823bf1d3bedea
26b,n1,26b-4000-2,False,f0115122363697aa6a4989b1af93d122a4d3513d4be8a6e6908dfe6b411e2ff4,43458a94a0675ca94e615cead064dcc682bb969ac5ba093501afeea7522f80f8
26b,n1,26b-1024-0,False,99ee030e9dbf2afdeaf65d6b0fc5bc67fda9d8f16d5097b46aa0f1a66c07e806,21daac2c026fe034bd1cb5fe186542cb12830d742857225a688bcaf15aca1745
26b,n1,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,d14e8a79e302cea023dcf4e27c05a9248995ec74265995196ceda4ba494859a4
26b,n1,26b-256-2,False,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a,bb971fbd39a21af34a63fa97d5ea00930f82ddac64ae16c096a20eef500d3312
26b,n1,26b-256-0,False,6f9c885a7c1d697d29d6b0fa743050a2072d79df81cce16096209f8dff3d9f30,ba292548dba100f6b82754588f55d02a55d27e97333a7c0473aaf3e84f90bb71
26b,n1,26b-1024-2,False,38054ec5c906bbeebffd3badc5cef39e3c22c9a2c692dbd9a57cad004973667e,236972981ae76821f4db4a80a8c7580a2ed8446b4eb4a623d578bfda788a6781
26b,n2,26b-1024-2,False,38054ec5c906bbeebffd3badc5cef39e3c22c9a2c692dbd9a57cad004973667e,42e84415bb68017b850b18aee16f86827957b727c4dee9c0393eaf4d33414eaf
26b,n2,26b-4000-2,False,f0115122363697aa6a4989b1af93d122a4d3513d4be8a6e6908dfe6b411e2ff4,3e0b7cf85123643a902a6d3aef45856fdf173404386c4f2571d2ab430434869b
26b,n2,26b-1024-0,False,99ee030e9dbf2afdeaf65d6b0fc5bc67fda9d8f16d5097b46aa0f1a66c07e806,9e032c219d80c34e5fbe6e6d5542d2a5ca0845285ae6700ff79633fc43dadd0b
26b,n2,26b-1024-1,False,c01d15bb05609f292827428e8c5b0b1996b24b18a9909d0583ac6f1fe6a2744a,21790520cf7815af52d75d6b1c501707580db6254d5b719c189e8750c742c529
26b,n2,26b-4000-0,False,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,ca034794521d7b1241430f1770300383c4cd031ebe9c707f2d5fcad6a63952b9
26b,n2,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,4fb0a37a5cd9106fd47f4d97089abf4b449fda5a8bc3c91aa9b6f1470a3d1364
26b,n2,26b-256-2,False,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a,1f9ee8de27ac62e58876927eb1ac4eb78555514b58af7e92989019482b963b7f
26b,n2,26b-256-1,False,75afe836f84af28a35deaf752b1e716da4effb51bbca6ce901e01e49b623edd6,ef33ebdadae438222a1917db59f6c0e128edb4bc4c224957b8d245c4b2d7defe
26b,n2,26b-256-0,False,6f9c885a7c1d697d29d6b0fa743050a2072d79df81cce16096209f8dff3d9f30,47e0e9ba104853c6e0ac6b7891611332179e487667b9079494edbc78ae51b59b
26b,n3,26b-4000-2,False,f0115122363697aa6a4989b1af93d122a4d3513d4be8a6e6908dfe6b411e2ff4,f10bf44b3b7f4c3a2cf6d488fee893a2d76bbd01c329d2cccf0d0f68f1932ac1
26b,n3,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,15bde192410dfe248eb55baab3c9385ed5eb878c24ed812318545205d3047f5b
26b,n3,26b-4000-0,True,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917
26b,n3,26b-1024-0,False,99ee030e9dbf2afdeaf65d6b0fc5bc67fda9d8f16d5097b46aa0f1a66c07e806,29b852f5bc11417f625c21676c038d27faee6397f8bd034949db27b642ea3316
26b,n3,26b-1024-1,False,c01d15bb05609f292827428e8c5b0b1996b24b18a9909d0583ac6f1fe6a2744a,a14d4c6011d29de5d259cceb7ef8c10799f6d557693dea7165cee44a3b68cd18
26b,n3,26b-1024-2,False,38054ec5c906bbeebffd3badc5cef39e3c22c9a2c692dbd9a57cad004973667e,f0000f6c3e07a33b69a7f79b2579ff1f458037b757b883a5ef2a897aa3ed340d
26b,n3,26b-256-2,False,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a,77a80119f20873e070e026ac1897b174007ffea76493522ebbea8cce1b59f8fb
26b,n3,26b-256-1,False,75afe836f84af28a35deaf752b1e716da4effb51bbca6ce901e01e49b623edd6,72bd8f584ff375a8185037c4555b6eb99ef3fbdab96b2dd0b50fc422e98ce3a4
