model_short,condition,item_id,family,correct,finish_reason,wall_ms,output_tokens,output_sha256
12b,off_a,ifeval-036,ifeval,True,stop,1217.551614,102,9a73d9e908393e287dd206bb2b41d85be43d9ba512af823545e713733b72012e
12b,off_a,mmlu_pro-006,mmlu_pro,True,stop,257.587285,5,383107968fb4dbad920fba520520a41a0449a7214bbf4a8288643187983af7c9
12b,off_a,ifeval-033,ifeval,True,stop,672.796121,46,ff10fc13366f0c80b7faeff17ab8b35b3281937a10c234f26203e6429c107ea1
12b,off_a,mbpp-011,mbpp,True,stop,735.093641,56,a73e4c15113564e76156ef2c16127b59f92a6662bcb81b51bf4d59bca113a896
12b,off_a,mbpp-003,mbpp,True,stop,417.322161,26,2369d5861c9378ec1edd7526f1a7312ee1942a946ef1ad07c6d3816877ac5930
12b,off_a,gsm8k-030,gsm8k,True,stop,2562.401475,224,32f65ae9462cc9f36e1496087ffb27614daf5665da5ef92791b85ba7015a5b33
12b,off_a,ifeval-021,ifeval,True,stop,2150.329753,184,5cd70933468637bdd552b68e82939aacbfefd63a767665e3b53c77b64fe4a72f
12b,off_a,gsm8k-021,gsm8k,True,stop,2075.077273,179,d455f0370b9d85bab32e95265a1d003cd0a5f7c72a6a066bef480b13fd9e0060
12b,off_a,mmlu_pro-059,mmlu_pro,True,stop,230.3258,5,44bbaa39dea1d8838a3788f80b48ef0ed54d451655d0bf526734658ec6af622f
12b,off_a,gsm8k-047,gsm8k,True,stop,1637.422641,139,96ae33cec934fb5b745bdae65df87a925575174796b72420de97720a55df5f22
12b,off_a,mbpp-004,mbpp,False,length,5757.852635,512,b2bab8b8f43de0cd368b8c8927ee4219b7c633ee26406117ac18eb94a1b77a63
12b,off_a,gsm8k-008,gsm8k,True,stop,2293.804691,193,d11d562f0d972de009bf9b4d9a4e75db552bf059d3ea2ccd6b82ccfdd587168e
12b,off_a,mbpp-005,mbpp,True,stop,4346.494547,377,b0374e3f9a18a2d8f841a494701b42dabb81cadbfa2deedcdcc2fcc611bef57c
12b,off_a,ifeval-028,ifeval,True,stop,5874.333173,517,3af8edfa689f1a7de31fa1adb850ee30dad93f7891c65a2d0e3682447d0d1300
12b,off_a,mmlu_pro-049,mmlu_pro,False,stop,252.625659,5,7f12398eab61eabfade2a1506d641f27c6035a371dd16cf1e5bbce8ac82b36d3
12b,off_a,ifeval-038,ifeval,True,stop,359.555061,22,0b5ad9d9c8203eaeb2bbacf54cb064fa547e58d753594bc948691bf93081e46e
12b,off_a,gsm8k-027,gsm8k,True,stop,4222.207734,378,255dc134d1fd6f38c35d3a96723e72e2bc5650a691ea44e81a63ee0a8ff70a71
12b,off_a,ifeval-020,ifeval,True,stop,3654.112548,322,4b5a8b05796b1590e64b5399cccd2c7711d4d50d3d07d1805660b30c321adaec
12b,off_a,mmlu_pro-024,mmlu_pro,True,stop,208.254098,5,7f12398eab61eabfade2a1506d641f27c6035a371dd16cf1e5bbce8ac82b36d3
12b,off_a,gsm8k-035,gsm8k,True,stop,5535.730257,494,922d6bbc4f295c621be50a7eb2ee02dca79841abc1317fc272ee02c6c16d2874
12b,off_a,mbpp-034,mbpp,True,stop,820.264344,60,65206c7abcc848ae14d11c7f6a17f4a2a858796540372c51156ab4bedab81d65
12b,off_a,gsm8k-052,gsm8k,True,stop,3191.764631,282,2b96b036d42e9f358d7aa24edf13e5a894b5aa159c904f6bc906bb52ff657f42
12b,off_a,mmlu_pro-027,mmlu_pro,True,stop,204.814293,5,f246277cc5248bc3d0e34f18c1e51dbf384b76ba4bc05357a5783df373eefa83
12b,off_a,mbpp-016,mbpp,False,length,5775.401338,512,a52b54b5b07b661c734dbdd1866828f23d7235a4d3da9c76108dc39383251392
12b,off_a,mmlu_pro-003,mmlu_pro,True,stop,297.933795,5,0b881d9aefb8729ec3519b9fc950d22641f552cae9e7b7c3d836e5049ae2a6eb
12b,off_a,gsm8k-050,gsm8k,False,stop,1432.743364,121,016ef07e7112becd369393cf94cf4a75ff51710c5d876450210c7986b371a77b
12b,off_a,gsm8k-038,gsm8k,False,stop,3172.578006,280,0ab8a9bb9fa6d8bff4ebe58212e004078b9b5d2f446a20aa753a8c50c4ae3720
12b,off_a,ifeval-035,ifeval,True,stop,261.102445,13,8bfa9fe1f5d629c2629d34be1303c062d4a34dd748535a18459bc73603bc0c3a
12b,off_a,ifeval-018,ifeval,True,stop,5347.311418,481,2357b8615bf680f4be152e57f23e764086c9b033d06c42f16b4d396ebb71a962
12b,off_a,ifeval-030,ifeval,True,stop,7163.469836,640,72ee3c65b72785ade2e0dd436c6b94846e2bbec35efc6dce283851832d2aca9a
12b,off_a,gsm8k-016,gsm8k,False,stop,2541.729495,217,ec31a30a80c0ec6e036408977689eb7a02672162c467d2fa1a3dcf314959b460
12b,off_a,gsm8k-046,gsm8k,True,stop,1870.285457,161,df722782bad0a68763109b4603f87d14b5e170d21f7dcf247535fa2af7e41101
12b,off_a,mmlu_pro-026,mmlu_pro,True,stop,175.904681,5,383107968fb4dbad920fba520520a41a0449a7214bbf4a8288643187983af7c9
12b,off_a,gsm8k-055,gsm8k,True,stop,2247.840751,196,85ed74d946cad5f2fb923f05dabcc5528b3fb69d917c72291f57ccf99d28e6f7
12b,off_a,ifeval-011,ifeval,True,stop,571.895665,43,5aff68f94fe9af9cb729203b5da84398e660105926e4a2fe51acc9cd7d54d4cb
12b,off_a,mmlu_pro-053,mmlu_pro,False,stop,203.590744,5,f246277cc5248bc3d0e34f18c1e51dbf384b76ba4bc05357a5783df373eefa83
12b,off_a,ifeval-015,ifeval,True,stop,1281.17804,109,967001387bcb1cebebfdf692e8d1b20de212afc5b8475212a832d87ea4585cc1
12b,off_a,mmlu_pro-010,mmlu_pro,True,stop,256.444139,5,79c14ef69b8803008a7947090ee9d8b4065c49bc1b60dd0d647e9b27f2aac0bd
12b,off_a,mmlu_pro-055,mmlu_pro,False,stop,266.271601,5,79c14ef69b8803008a7947090ee9d8b4065c49bc1b60dd0d647e9b27f2aac0bd
12b,off_a,mmlu_pro-045,mmlu_pro,False,stop,285.426794,5,0b881d9aefb8729ec3519b9fc950d22641f552cae9e7b7c3d836e5049ae2a6eb
12b,off_a,gsm8k-045,gsm8k,True,stop,2203.561167,183,3a5d4ceea35b2b6939f5f58795d47279b85c3ceab266675b6b881c319907ad5a
12b,off_a,mmlu_pro-046,mmlu_pro,False,stop,274.843685,5,44bbaa39dea1d8838a3788f80b48ef0ed54d451655d0bf526734658ec6af622f
12b,off_a,mbpp-023,mbpp,False,length,5795.349274,512,96cbdeeb94f12690f200d820a91420b6613ff4422f9815f4dba1ca2e681cf8e3
12b,off_a,ifeval-032,ifeval,False,stop,472.600384,27,57e39da020e575bf001d972fb9638e85608377ea9aa57d63a93b23c92710811d
12b,off_a,gsm8k-059,gsm8k,True,stop,3098.815124,278,620d7dc3ec1fae915107b50521a5168eda9e0f363dd14586a6ff483646526fd0
12b,off_a,mmlu_pro-022,mmlu_pro,True,stop,277.997116,5,75a8382d1f0eeb8ade3ff32fd5d253d6d61f5569a8c8c7a7f2fa4e891b73e012
12b,off_a,gsm8k-057,gsm8k,True,stop,2565.460223,218,038e92c46ad335e219439c49d30f5a766deb0a68b454ade202c575e8fc8f7bdf
12b,off_a,ifeval-008,ifeval,False,stop,2236.783183,193,b74f051155611197fdaa905fc1359874a45d5e79b8ce824f833f65806d41dba6
12b,off_a,mmlu_pro-052,mmlu_pro,True,stop,240.936077,5,79c14ef69b8803008a7947090ee9d8b4065c49bc1b60dd0d647e9b27f2aac0bd
12b,off_a,mmlu_pro-017,mmlu_pro,False,stop,289.455952,5,75a8382d1f0eeb8ade3ff32fd5d253d6d61f5569a8c8c7a7f2fa4e891b73e012
12b,off_a,gsm8k-044,gsm8k,True,stop,2363.674134,205,6ad8c4d94cb13b370c0c7b4db3b6b621bcb2b0f6cfc298becd58a0979a958750
12b,off_a,ifeval-023,ifeval,True,stop,2732.832292,240,98976f5199ead80af9c8916229572be50afd0d91c3272e17bbb8952160caa700
12b,off_a,gsm8k-002,gsm8k,True,stop,4227.084254,374,f7a7cbd1949f0458cc85c29aa55c01dd09f5b11b9c633e8d3712249b536ac735
12b,off_a,mmlu_pro-018,mmlu_pro,False,stop,280.543082,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,off_a,ifeval-002,ifeval,True,stop,1805.2393,153,28976e5147f9629b0d15ee959f0827c86fbbe3a652f658475c5f74895efdbd1e
12b,off_a,mmlu_pro-035,mmlu_pro,True,stop,180.991724,5,7f12398eab61eabfade2a1506d641f27c6035a371dd16cf1e5bbce8ac82b36d3
12b,off_a,gsm8k-041,gsm8k,True,stop,1740.823513,148,3e8837662aa6cd0330ba5d006cfdb95a2b88b7351df7923ea4428f13acf3c82d
12b,off_a,mbpp-007,mbpp,True,stop,3498.329081,308,ca0875e92228093d83135689b78699d0b30ce70d0cb657d6853e3518f18bedf3
12b,off_a,gsm8k-037,gsm8k,True,stop,4967.333512,438,ca6b5cc5750f78aba208ee6cee90246bcdd7b57fccee0e5a3deafbfe12686703
12b,off_a,mmlu_pro-051,mmlu_pro,False,stop,263.775187,5,0b881d9aefb8729ec3519b9fc950d22641f552cae9e7b7c3d836e5049ae2a6eb
12b,off_a,gsm8k-039,gsm8k,True,stop,5367.65881,480,fb32d7098fa115574a80ddd93ed832a6c4fe499d3ac99571da234f7c4904e76d
12b,off_a,mmlu_pro-012,mmlu_pro,False,stop,351.552149,5,383107968fb4dbad920fba520520a41a0449a7214bbf4a8288643187983af7c9
12b,off_a,ifeval-024,ifeval,True,stop,1661.056288,136,24210b164c622848fdaee9901430ed73bb17a57f1dcae0f8aeb0374eb2fd4cc9
12b,off_a,ifeval-025,ifeval,True,stop,5347.755477,480,e2bc306df2c511b7714942ed5ee8c809d73af5bd45acd0e30371a04d96f0d3b0
12b,off_a,gsm8k-001,gsm8k,True,stop,3198.248973,278,9a10eec46b018993da0c9c29af703c0dff9520226b792a01262d170d226df54e
12b,off_a,mbpp-036,mbpp,True,stop,522.680772,35,68f4d7589f633b92b13fefd6bef50c8c846fe1a3fe75b1a2bbc3a26e31f80c9f
12b,off_a,gsm8k-004,gsm8k,True,stop,1700.979942,147,37ded3bbd709e34262192a50410561aaf27965b82bc91c8bd415e4eedd653db0
12b,off_a,mbpp-022,mbpp,True,stop,565.457048,36,0de54c5f0b17f075fcf6b40205e874d57cddc5d15fb264c75bb341a73617141e
12b,off_a,mbpp-013,mbpp,True,stop,465.775916,28,4df63423cb4c04c28d5305e7cc592e14020ebdb226133841cd882a53ddf5b8b2
12b,off_a,ifeval-013,ifeval,True,stop,1799.999984,156,fd714d145d1c8f7015bdad611da303a0178871f6ec714f44f866190f0b8d12c3
12b,off_a,ifeval-007,ifeval,False,stop,613.016846,48,3e7eb239d439ecf978629114aee4e04094b231211a7419027f01c1f6dd7baa22
12b,off_a,mbpp-021,mbpp,True,stop,3035.484363,267,b5ad8d7a501a14ab4950cca5ef6a768cbaa0536fbc583bcb8e128596c9978022
12b,off_a,mbpp-002,mbpp,True,stop,357.580699,20,06656aea3e5d36d758091598f861a450b00ae765dc4353b0817442bf438956ec
12b,off_a,gsm8k-054,gsm8k,True,stop,3160.835617,280,54b3e3ef09726d261d1e4b01c284e0484da06616ad88aaedfb529a2c99a18f89
12b,off_a,mmlu_pro-043,mmlu_pro,True,stop,190.372644,5,e192490fee64ad593d0794e211855b9bb10e590dbd903c73641084fcd6da0256
12b,off_a,mmlu_pro-036,mmlu_pro,True,stop,170.043187,5,79c14ef69b8803008a7947090ee9d8b4065c49bc1b60dd0d647e9b27f2aac0bd
12b,off_a,ifeval-004,ifeval,True,stop,8039.088487,723,df4e93d414993905109a78909a305984c984a35514799f95f57d0eb8589e837d
12b,off_a,gsm8k-042,gsm8k,True,stop,2052.733204,171,de84d62585e2b2405e6ff0deabf5247b7f0da493cb8469741b92fe5a7e5edb4a
12b,off_a,ifeval-029,ifeval,True,stop,3749.555454,334,8ee62e13cd6a26317d678b26785457ff377dfb262ad3cbc053052f9f558f8d31
12b,off_a,gsm8k-017,gsm8k,True,stop,1581.196304,133,b79db9dbad87d0691584fc9c3c91e9372bb366a3eede4a26930d48092e2f4416
12b,off_a,gsm8k-033,gsm8k,True,stop,3143.264708,277,13234854a09ec901a761b20b2afdc4230acacc5b676c45dc0ae009c891d2ca57
12b,off_a,mmlu_pro-002,mmlu_pro,False,stop,219.542534,5,75a8382d1f0eeb8ade3ff32fd5d253d6d61f5569a8c8c7a7f2fa4e891b73e012
12b,off_a,gsm8k-005,gsm8k,True,stop,2761.393559,241,8c2e7948a4967d7edb2de78d3d066b562372c25bc89d74f5cebe8c0327a5e9ec
12b,off_a,mmlu_pro-004,mmlu_pro,True,stop,289.118696,5,75a8382d1f0eeb8ade3ff32fd5d253d6d61f5569a8c8c7a7f2fa4e891b73e012
12b,off_a,mmlu_pro-001,mmlu_pro,False,stop,291.08018,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,off_a,mmlu_pro-031,mmlu_pro,True,stop,182.216835,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,off_a,ifeval-019,ifeval,True,stop,5875.057545,530,62bb2009abcb0b341ab812183164e556418a4abc7758467e183cfca07d4afe9b
12b,off_a,gsm8k-034,gsm8k,True,stop,4774.145871,420,ebfa05b6f6326cb8c9b8dcb13bea4d6adf9c8857c1f9948dfa667882b73528d6
12b,off_a,gsm8k-031,gsm8k,True,stop,2677.789602,230,1eacf3d6f8042e87e73d5186d68015f43edfd8f2e3908f51529edd6481904e12
12b,off_a,gsm8k-036,gsm8k,True,stop,1966.156494,168,d0ff1598e3600e97af9a9734e88229d5efcfce238b92149c7f41af574ddce1d2
12b,off_a,gsm8k-022,gsm8k,True,stop,2840.013913,249,5b4478b445f35bbb6f1d908596f171c6f8e80f2dbb0d96130ed1155dcb213392
12b,off_a,mmlu_pro-023,mmlu_pro,True,stop,257.617479,5,7f12398eab61eabfade2a1506d641f27c6035a371dd16cf1e5bbce8ac82b36d3
